"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","课程学习","获取课程大纲","0","0","1","0","0"
"","课程学习","获取学习动态","0","0","1","0","0"
"","课程学习","获取课程角色","0","0","1","0","0"
"","登录模块","登录成功","0","0","1","0","0"
"","课程学习","获取菜单","0","0","1","0","0"
"","课程学习","运行","0","0","1","0","0"
"","课程学习","记录时间","0","0","1","0","0"
"","课程学习","获取课程章节","0","0","1","0","0"
"","课程学习","获取课程详情","0","0","1","0","0"
"","课程学习","获取小节详情","0","0","1","0","0"
"","课程学习","获取课程列表","0","0","1","0","0"
"","课程学习","退出登录","0","0","1","0","0"
"","登录模块","登录失败","0","0","1","0","0"
